topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,4,1000000,10,0,1,10,512,100,5,29,2.0
4,1,4,1000000,10,0,1000,10,512,10000,5,29,2.0
2,10,4,10,10,0,1,10,512,10000,5,0,2.0
4,1,4,10,1,0,1,1000,1024,10000,2,0,0.0143802010777
2,1,2,10,1,1,1,1000,512,100,2,0,2.0
4,10,2,1000000,10,1,1,1000,512,10000,5,29,0.00129912043827
2,1,2,1000000,10,1,1,1000,512,10000,5,29,2.0
4,1,4,10,10,0,1,1000,512,100,2,29,2.0
4,10,2,1000000,1,1,1000,1000,512,100,5,0,2.0
4,10,2,1000000,1,1,1,10,512,10000,5,0,2.0
4,10,2,10,1,0,1,10,1024,100,5,29,0.0143025806742
2,10,2,10,1,0,1000,1000,512,100,5,0,2.0
2,1,2,1000000,10,1,1000,1000,512,100,2,29,2.0
2,1,4,10,1,1,1000,1000,1024,100,2,0,2.0
2,10,2,10,1,0,1,10,512,100,2,29,0.0148540940678
4,1,2,1000000,1,1,1,10,1024,100,5,29,0.000671348402586
2,10,2,10,10,0,1,10,512,10000,2,29,2.0
2,10,4,10,1,0,1000,10,512,100,2,29,0.871975357565
4,10,4,1000000,10,1,1,10,512,100,2,29,0.000637304365943
4,1,2,10,10,1,1,1000,1024,10000,5,29,0.0861259656591
2,1,2,1000000,1,0,1000,1000,512,100,5,0,2.0
4,1,4,1000000,1,0,1000,10,512,10000,5,0,2.0
4,10,2,10,10,1,1000,1000,512,100,2,0,2.0
4,10,4,10,1,1,1000,10,512,100,5,29,0.216153759211
4,10,2,1000000,1,1,1,10,1024,100,2,29,0.00292642538977
2,1,4,1000000,1,0,1000,1000,1024,100,5,0,2.0
2,1,2,10,10,0,1,10,512,100,5,29,0.14065498003
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.0817560731157
2,1,4,1000000,10,1,1000,10,512,10000,2,29,2.0
4,10,2,10,1,0,1000,1000,1024,100,2,0,2.0
4,10,4,10,1,1,1000,10,1024,10000,2,0,2.0
2,10,4,1000000,1,1,1,1000,512,100,5,0,2.0
4,1,4,1000000,1,1,1,1000,512,100,5,29,2.0
2,1,4,1000000,10,1,1,1000,512,100,2,0,2.0
2,1,4,1000000,10,0,1,1000,1024,10000,2,29,2.0
4,10,2,10,1,0,1,10,1024,10000,5,29,2.0
4,1,4,10,10,0,1,10,1024,10000,2,29,2.0
4,1,2,10,1,1,1,1000,1024,10000,5,29,0.0145354418848
4,1,2,10,10,0,1,10,1024,10000,5,29,2.0
2,1,4,1000000,10,0,1000,1000,512,100,5,0,2.0
2,10,2,10,10,0,1,10,1024,10000,5,29,2.0
2,1,4,10,10,0,1,1000,1024,100,5,0,2.0
4,10,4,1000000,10,1,1000,10,512,10000,2,29,2.0
2,1,2,10,10,1,1000,1000,512,10000,2,0,0.778524476981
2,10,2,10,1,0,1,10,1024,100,2,0,0.0149072027649
2,1,4,1000000,1,0,1000,1000,512,100,5,0,2.0
4,1,2,10,1,1,1,10,1024,100,2,29,0.0148554558292
2,1,4,1000000,10,0,1,1000,512,10000,2,0,2.0
4,1,4,10,1,0,1,1000,1024,100,5,29,2.0
2,1,2,10,1,1,1000,1000,512,100,2,29,2.0
4,1,4,1000000,1,1,1000,10,512,100,2,29,2.0
4,1,4,1000000,1,1,1,1000,1024,10000,5,0,0.00089740080589
2,1,2,1000000,10,0,1,10,1024,10000,5,29,2.0
2,10,2,10,1,0,1000,10,1024,100,5,29,0.276718100397
4,10,4,10,1,1,1,1000,512,10000,5,29,0.0141718515734
4,10,4,1000000,1,1,1,10,1024,10000,5,0,2.0
2,1,2,1000000,10,1,1000,10,512,100,5,0,2.0
2,1,4,10,1,1,1000,10,1024,100,2,0,0.987492220938
2,10,2,1000000,10,1,1000,10,1024,10000,2,29,2.0
4,1,4,1000000,10,1,1,1000,512,100,5,0,2.0
4,10,2,10,10,1,1,1000,1024,10000,2,29,0.143476549787
4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.000832036255537
4,1,2,1000000,10,0,1000,10,512,100,5,29,2.0
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.0
4,1,4,1000000,10,0,1,10,512,100,5,0,5.44704586276e-06
