new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,1,0,1,0,1,1,1,0,87.392
4,3,2,0,0,0,1,1,0,1,53.58
2,3,2,0,0,0,1,0,1,1,83.914
1,3,2,0,1,1,1,0,1,1,155.896
3,1,2,0,1,0,0,0,1,0,31.33
2,3,1,0,1,0,0,1,0,0,95.386
3,1,3,1,0,0,1,0,1,1,30.822
3,1,1,1,0,0,0,1,1,1,31.674
3,1,3,0,1,0,0,1,0,0,33.262
1,2,2,0,0,0,0,1,0,1,135.612
3,3,1,0,0,0,1,1,1,1,61.764
2,2,3,0,0,0,0,1,0,1,71.684
1,2,3,1,0,1,0,0,0,0,117.536
2,1,3,1,0,1,1,1,0,0,47.042
2,2,1,1,0,1,1,1,1,1,63.2
4,3,1,1,0,1,0,0,1,0,37.184
4,3,1,0,0,0,1,1,1,1,44.838
4,2,1,1,0,0,1,0,1,0,30.594
2,2,2,0,1,1,0,0,1,0,58.376
1,2,1,0,0,1,1,1,0,0,141.56
4,1,3,0,1,1,1,0,1,1,24.608
4,2,3,0,1,0,1,1,0,0,37.962
1,2,3,1,0,0,1,1,1,1,119.416
4,1,1,1,1,1,1,0,1,0,22.168
1,2,2,0,1,0,0,0,1,1,108.868
1,3,2,1,0,1,1,1,0,1,186.254
3,3,3,1,0,0,0,0,0,0,59.162
4,2,2,0,1,0,1,0,1,0,32.272
3,3,1,0,0,1,0,0,0,1,61.818
1,1,3,0,1,1,1,0,0,1,86.296
1,2,2,0,1,0,1,1,0,1,140.74
1,3,1,0,1,0,1,0,1,1,155.402
4,2,2,0,0,0,1,1,0,1,38.548
4,2,1,1,1,1,1,1,1,1,31.65
2,2,3,0,1,0,0,1,0,1,70.93
1,1,2,1,0,1,1,0,0,1,82.35
1,2,3,0,1,1,1,1,0,0,140.09
3,1,3,0,1,1,1,1,0,0,33.554
4,1,3,0,1,0,0,1,1,0,24.836
4,2,3,1,1,1,0,1,1,1,29.872
3,3,2,0,1,0,1,0,1,0,58.954
2,3,2,1,0,1,1,1,1,0,84.89
3,3,3,0,1,0,1,1,0,1,74.524
1,1,2,1,1,0,1,0,0,0,79.92
4,1,1,0,1,0,1,0,1,1,23.386
4,1,1,1,0,0,0,1,1,0,23.52
2,2,3,1,1,0,1,1,1,0,62.178
1,2,2,1,1,1,1,1,0,0,132.146
1,3,2,0,1,0,1,0,1,0,155.784
3,1,1,0,0,0,1,1,1,0,34.124
2,2,1,1,1,0,0,1,0,0,66.412
3,2,2,1,0,1,0,1,0,0,46.97
1,2,1,1,0,0,1,0,1,0,111.734
2,1,1,0,0,0,0,1,1,1,50.238
1,1,3,0,1,1,1,1,0,1,93.932
3,2,2,0,0,0,0,1,0,0,49.796
3,2,2,0,1,1,0,0,1,0,40.216
4,1,3,1,1,1,1,0,0,1,23.334
1,2,2,0,0,0,1,1,1,0,124.934
3,2,2,1,0,1,0,0,0,0,43.802
3,3,2,1,0,0,1,0,1,1,57.356
1,2,3,1,0,0,0,0,0,0,117.062
3,3,3,0,0,0,0,0,0,1,62.534
1,3,3,0,0,1,0,1,0,1,183.39
3,3,1,0,1,1,1,0,1,1,58.162
4,1,3,0,1,0,1,0,0,0,24.664
4,1,1,1,1,1,0,1,1,1,23.278
2,2,3,1,1,0,1,0,0,1,65.942
3,1,1,1,1,0,0,1,0,1,30.918
1,3,1,0,1,1,0,1,0,1,181.412
3,2,3,0,0,1,0,0,0,1,46.75
3,3,1,0,1,1,0,1,0,0,66.914
3,2,2,0,1,0,0,0,0,1,46.06
4,3,3,1,0,0,1,1,1,1,43.176
2,2,1,1,1,1,0,1,1,0,58.808
1,3,3,0,1,1,0,1,1,0,152.516
3,1,2,0,1,1,1,1,0,0,33.396
2,2,1,0,0,0,1,1,0,1,75.42
2,3,3,0,1,1,0,1,0,1,95.62
2,1,2,1,0,1,1,0,1,1,44.094
2,2,1,0,1,1,1,0,1,1,62.006
4,1,2,0,0,0,1,0,1,1,24.466
2,2,3,1,1,0,1,1,1,0,62.178
2,2,2,1,1,0,0,0,0,0,61.266
3,3,3,0,1,0,0,0,1,0,52.232
1,1,1,1,1,1,1,1,1,0,86.792
1,3,3,0,0,1,0,1,1,1,153.388
4,2,1,1,0,1,0,1,0,0,34.686
2,2,3,1,0,1,1,1,0,0,71.35
3,2,1,1,0,1,0,0,1,1,37.706
4,1,2,1,0,0,0,1,1,1,23.776
4,1,2,1,1,0,0,1,1,0,23.12
2,3,3,0,0,1,1,0,1,1,84.166
3,2,1,1,1,0,1,1,1,1,43.39
1,3,1,1,1,1,0,1,0,1,172.548
2,1,3,1,0,0,0,1,0,1,47.06
4,2,2,0,1,1,1,0,1,0,32.554
1,3,3,0,0,0,1,0,1,0,156.848
3,3,3,1,0,1,0,1,0,0,64.01
4,3,1,0,0,0,0,0,0,0,45.526
4,1,2,0,0,1,1,1,0,1,25.278
2,2,1,0,1,1,1,0,1,1,62.006
3,1,3,1,1,1,0,1,1,0,31.084
4,3,1,1,0,1,0,0,1,0,37.184
2,2,1,0,1,1,1,0,1,0,61.722
4,3,2,0,1,1,1,0,1,1,42.996
3,3,3,0,1,0,0,1,1,1,54.664
2,1,3,0,0,0,1,1,1,0,50.254
2,3,2,1,0,0,0,0,1,0,72.896
2,2,2,1,1,0,0,0,0,0,61.266
2,2,2,0,1,0,1,0,0,0,69.212
4,2,1,1,0,0,1,1,1,1,32.044
4,1,3,1,1,1,1,1,0,1,23.374
2,2,1,0,0,1,0,0,0,1,65.37
3,3,2,0,0,0,0,1,0,0,67.812
2,1,2,1,0,1,1,1,1,1,47.556
3,1,1,0,0,0,1,1,1,0,34.124
2,1,3,1,1,1,0,1,0,0,45.726
2,1,2,1,1,1,1,0,1,0,42.69
3,2,1,0,1,0,1,1,1,1,45.788
3,1,3,0,1,0,0,0,0,1,31.638
3,1,2,0,1,1,0,0,1,1,31.296
4,2,1,1,0,0,0,1,0,1,34.428
2,3,2,0,1,1,1,1,0,1,103.88
4,1,2,1,0,0,0,1,1,1,23.776
3,1,1,0,0,1,0,1,0,1,34.028
2,2,2,0,1,0,0,0,0,0,64.772
4,2,3,0,0,1,1,1,1,0,33.59
