ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,70185.2
1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,86936.6
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,88024.2
1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,72732.8
0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,90532.6
1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,93699.8
1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,85509.0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,72973.2
0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,86633.0
0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,75825.4
1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,79252.8
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,85594.4
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,65996.6
0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,83701.2
0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,93086.4
0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,90244.0
0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,79899.0
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,69953.8
0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,87465.4
0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,92401.6
1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,88184.6
0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,70882.6
0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,86639.2
0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,83160.4
1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,68402.2
0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,84572.0
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,97421.6
1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,75850.8
1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,87098.2
0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,95605.6
1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,88984.6
1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,93102.6
0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,74288.0
0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,78295.6
1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,70944.6
0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,85678.8
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,67556.2
1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,68136.6
1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,67973.6
0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,63989.2
0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,76384.8
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,64247.2
1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,89613.4
0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,94190.8
0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,75336.2
1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,81583.8
0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,75089.4
1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,77559.8
0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,73812.2
0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,84881.2
1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,80410.6
0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,82791.2
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,62401.2
1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,75875.6
1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,78735.4
1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,75471.4
1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,78761.6
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,61552.6
0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,87107.6
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,75212.0
1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,71485.0
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,80447.2
1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,80283.2
0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,91793.6
0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,75640.0
1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,68371.6
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,80334.0
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,83054.4
0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,86334.0
1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,83534.2
0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,72202.2
0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,97160.6
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,79877.6
0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,89936.2
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,86045.2
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,70064.8
0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,61317.2
1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,90821.4
1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,60871.4
0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,82081.0
1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,82602.0
0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,68976.4
0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,73283.6
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,70059.0
1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,85937.0
0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,64404.6
0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,72432.2
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,61733.8
0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,67567.2
1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,64266.2
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,75789.4
1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,81879.0
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,86685.6
0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,81034.0
0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,74061.2
0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,66170.4
0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,81906.2
1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,70284.0
0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,67049.0
0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,71234.4
1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,88440.4
1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,66916.4
0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,73963.8
1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,64824.4
1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,91890.2
0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,81116.4
0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,93059.6
1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,81457.8
0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,83456.6
1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,68831.6
