spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.5023386052057625
1,1,0,0,0,1,0,1,1,0,0,0,1,1,0.5007134835361258
1,1,0,1,1,0,0,0,1,0,1,0,0,0,0.49917866552944273
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0.4977318581985791
0,1,1,0,0,1,1,0,0,1,0,0,1,1,0.49637044449770573
0,1,1,1,1,1,0,0,0,0,1,1,1,0,0.4950915019075274
1,0,0,1,1,0,0,0,0,0,1,1,1,1,0.49389182200634524
0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.4927679309451369
1,1,1,0,1,0,1,1,1,0,1,0,1,0,0.4917161107419606
1,1,0,1,1,1,1,1,1,1,1,1,0,1,0.490732421308436
0,0,1,1,0,1,1,0,1,0,0,0,1,1,0.4898127231188164
1,1,1,0,0,1,1,1,1,1,0,0,1,0,0.48895270043026906
0,0,1,1,1,1,1,0,0,1,1,0,0,1,0.4881478849614215
0,1,1,1,1,1,1,1,0,0,1,1,0,0,0.48739367993501587
0,1,1,1,0,1,0,0,1,1,1,1,1,1,0.4866853843896406
0,0,0,0,1,1,0,1,0,1,0,0,0,1,0.4860182176649902
1,1,0,0,0,0,0,1,1,1,0,1,1,1,0.48538734396493444
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.4847878969028544
1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.4842150039342291
1,0,1,1,1,0,1,1,1,0,1,0,1,0,0.4836638105823287
0,0,1,0,0,0,1,1,1,1,0,1,1,0,0.48312950436408175
1,0,0,1,0,1,0,1,1,0,0,1,1,0,0.4826073383247264
0,1,1,0,1,0,1,1,1,0,0,1,1,0,0.48209265409173646
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.4815809043607028
1,1,0,0,1,0,0,0,1,1,1,1,0,1,0.4810676747283617
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.48054870479076955
0,1,1,0,1,1,1,0,0,0,0,1,1,0,0.4800199084277254
1,0,1,1,0,0,1,0,1,0,0,0,1,0,0.47947739319791705
0,1,0,0,1,0,0,0,1,1,0,1,1,0,0.47891747877291857
1,0,1,1,0,0,1,0,0,1,1,0,1,0,0.4783367143420564
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0.47773189492430085
0,1,0,1,0,1,0,0,0,0,0,1,1,1,0.4771000765276908
0,1,0,0,0,0,1,1,0,1,1,1,0,0,0.47643859010136186
0,0,1,1,0,0,1,1,0,1,0,1,0,0,0.4757450542299963
0,0,0,1,0,1,1,0,0,0,1,1,0,0,0.4750173865254305
0,1,0,0,0,1,0,0,1,0,0,1,1,1,0.4742538136752255
1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.4734528801132133
1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.47261345528234316
1,0,1,1,1,1,1,0,0,0,1,0,0,1,0.47173473946556954
0,1,0,0,1,1,1,0,1,0,1,1,1,0,0.47081626816600547
1,1,1,0,0,0,1,0,0,1,1,0,0,0,0.4698579150231072
0,1,0,1,1,1,0,1,1,0,0,1,0,0,0.4688598932572321
1,0,0,0,1,0,0,0,0,1,1,1,0,1,0.4678227556404958
1,1,0,1,0,1,0,0,1,0,0,0,1,0,0.4667473929974419
0,1,0,1,1,0,1,1,0,1,1,0,0,0,0.46563503124458694
1,0,0,1,1,1,0,0,1,0,1,1,1,1,0.4644872269834162
1,0,0,1,1,1,1,1,0,1,0,1,1,1,0.46330586166684384
1,1,0,1,1,1,0,1,0,1,0,1,0,1,0.46209313436450566
0,0,1,0,1,0,0,0,1,1,0,1,0,0,0.4608515531575043
1,1,0,0,0,0,1,0,0,0,1,1,1,1,0.4595839251983479
1,0,1,0,1,1,1,0,1,1,0,1,0,1,0.45829334547680606
0,1,0,0,1,0,0,1,1,1,1,0,0,1,0.45698318433722895
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0.4556570737975144
0,1,1,0,1,0,1,0,1,1,0,1,1,1,0.4543188927243634
1,0,0,1,0,0,0,0,1,1,1,1,1,1,0.45297275092369244
0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.4516229722090966
0,1,0,1,0,1,1,1,1,0,1,0,1,1,0.45027407651502144
1,0,1,0,1,0,1,1,0,1,0,0,0,0,0.44893076112482894
0,1,0,0,0,1,0,1,1,0,0,0,1,1,0.4475978810871996
1,1,1,1,1,0,1,0,1,0,1,0,1,1,0.44628042889729175
1,1,1,0,1,1,0,1,0,1,1,1,1,0,0.4449835135217757
1,0,0,1,0,1,1,1,1,0,1,1,1,1,0.4437123388492603
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.4424721816497245
1,0,0,0,0,0,0,1,1,1,1,0,0,1,0.44126836912835143
1,0,0,0,1,1,0,0,0,1,0,1,1,0,0.4401062561606325
0,1,0,1,1,1,0,1,1,1,1,1,0,1,0.4389912022967546
0,0,0,0,1,1,1,0,1,1,0,0,0,0,0.43792854862410924
0,0,1,0,0,1,0,1,0,0,1,1,1,1,0.4369235945772537
1,0,1,0,1,0,0,0,0,0,1,1,1,1,0.4359815747848236
1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.4351076360427354
1,0,0,1,1,1,1,1,1,1,0,1,1,1,0.43430681450252606
0,1,1,1,1,0,0,1,0,1,0,0,0,1,0.4335840131628642
0,1,0,1,0,1,1,1,0,1,0,0,0,1,0.4329439797511324
0,0,0,0,0,1,0,1,1,0,1,1,1,1,0.43239128508052765
0,1,1,0,1,1,0,1,1,0,1,0,1,1,0.431930301966361
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0.4315651847831753
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.43129984974193075
1,0,0,0,1,1,1,1,0,1,1,0,1,1,0.43113795596385923
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.43108288742466244
0,0,1,1,1,1,1,1,0,1,1,0,0,1,0.4311377358395304
1,0,1,0,1,1,0,0,0,1,1,1,0,0,0.43130528455601075
1,0,1,1,0,1,0,0,0,1,1,0,1,0,0.43158799351807114
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0.4319879853607755
1,0,1,1,1,1,1,0,1,0,1,1,0,0,0.43250703269086876
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.43314654660423163
0,1,0,1,0,1,0,0,1,1,1,0,1,0,0.4339075664866603
0,0,1,0,0,1,1,1,0,0,1,1,1,1,0.43479075113974663
1,0,0,1,0,1,1,0,0,1,0,1,0,0,0.4357963712688121
0,0,0,0,0,0,1,0,0,1,1,0,1,1,0.4369243033648895
0,1,1,0,0,1,1,1,1,1,0,1,0,1,0.4381740250076824
0,1,0,0,0,0,1,1,0,1,1,1,0,0,0.4395446116112639
0,0,0,0,0,1,0,1,0,1,1,0,1,1,0.44103473462904247
1,1,1,1,0,1,0,1,0,1,1,1,0,1,0.442642661229222
0,1,1,0,1,0,1,1,1,0,1,0,0,1,0.44436625544665237
1,1,0,1,0,1,1,1,1,0,0,1,1,0,0.4462029808116119
1,1,0,0,0,1,0,1,0,1,1,0,0,1,0.4481499044507146
0,0,0,1,1,1,1,0,0,1,1,0,0,0,0.4502037026497983
1,1,1,1,0,1,1,0,0,1,0,1,1,1,0.4523606678633601
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0.45461671714986746
0,0,0,1,1,1,1,0,1,0,0,0,1,0,0.45696740200711516
0,0,0,1,1,1,1,1,0,1,1,0,0,0,0.45940791957673366
1,0,0,1,1,0,0,0,0,0,1,1,1,1,0.46193312518200036
1,1,1,1,1,0,0,0,0,1,1,0,1,0,0.464537546158286
0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.4672153969307929
1,1,0,0,0,1,1,1,0,0,0,1,0,1,0.46996059528972917
1,0,0,0,1,0,1,0,0,0,0,0,1,1,0.47276677980873444
0,0,1,0,0,1,0,0,1,1,1,0,0,0,0.47562732834823307
1,1,0,0,0,0,1,1,1,1,0,1,0,0,0.47853537758146686
0,0,0,1,1,0,0,1,1,0,1,1,1,1,0.48148384347725043
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0.48446544267002767
0,0,1,1,1,0,1,1,1,1,0,1,0,0,0.487472714644584
1,1,0,0,1,0,1,1,0,1,0,0,0,1,0.4904980446598097
0,0,1,1,0,1,0,0,1,0,1,1,0,1,0.49353368733321185
1,1,0,1,1,1,1,1,1,0,1,1,1,1,0.4965717908054647
1,0,0,0,1,1,1,1,0,1,0,0,0,1,0.49960442140215267
0,1,1,1,0,1,0,0,1,1,0,0,1,1,0.5026235887080293
1,1,1,0,0,1,1,1,0,1,1,0,0,1,0.5056212709675811
0,1,1,0,1,1,1,0,1,0,0,1,0,1,0.5085894407244503
0,1,1,1,0,1,0,1,0,0,1,0,0,1,0.5115200906113523
0,0,1,1,0,0,0,1,1,0,1,1,0,1,0.5144052592015131
0,0,1,1,1,1,1,1,1,0,0,1,0,0,0.5172370568323508
1,0,1,0,0,1,0,0,1,1,1,1,1,1,0.5200076913121452
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0.5227094934207658
1,1,1,0,1,0,0,1,1,0,0,1,1,0,0.5253349421161737
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.5278766893593563
1,0,0,1,1,1,0,0,1,0,1,0,0,1,0.5303275844716134
1,1,0,0,0,1,1,1,1,1,0,1,1,1,0.5326806979396694
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0.5349293445859269
0,1,0,1,1,1,1,1,0,1,1,0,0,0,0.5370671060233249
1,1,0,1,1,1,1,0,1,0,1,1,0,1,0.5390878523166739
1,0,0,0,1,0,0,1,0,1,1,0,1,0,0.5409857627750255
1,0,0,0,0,0,0,0,1,0,1,1,0,1,0.5427553458025868
0,1,1,1,1,0,1,0,1,0,0,0,0,1,0.5443914577388805
0,1,1,1,1,1,0,0,1,1,0,1,1,1,0.5458893206222935
0,0,1,1,0,0,1,1,0,1,0,0,1,1,0.5472445388148087
0,0,1,1,1,1,0,0,0,1,1,0,0,1,0.5484531144296011
1,1,1,1,1,0,1,0,1,1,0,0,0,1,0.5495114615072371
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.5504164188904885
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.5511652617521847
1,1,1,1,0,0,0,1,0,0,1,0,0,1,0.551755711735117
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0.5521859456677208
1,0,1,1,1,0,1,1,1,0,1,1,1,1,0.5524546028240981
1,0,1,0,0,0,0,1,1,1,0,1,0,0,0.552560790701888
1,1,1,1,0,1,1,1,1,1,1,0,0,1,0.5525040892965162
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.5522845538554532
0,0,0,0,1,1,1,0,1,1,0,1,1,1,0.5519027161012559
0,1,1,0,1,0,0,1,0,1,0,0,1,1,0.5513595839173472
1,0,1,0,0,1,1,1,0,0,1,0,1,1,0.5506566394956861
0,1,0,0,1,1,1,1,0,0,1,1,0,1,0.5497958359506645
1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.5487795924087473
0,1,1,0,0,0,1,0,1,1,0,0,1,0,0.5476107875884951
1,1,1,1,0,1,0,0,1,1,0,1,0,0,0.5462927518906917
1,1,1,1,0,0,1,1,1,1,0,0,0,0,0.544829258023291
0,1,0,1,1,0,1,1,1,0,1,1,0,1,0.5432245101908194
1,1,1,0,0,1,0,1,1,1,0,1,1,1,0.5414831318826581
0,0,1,1,1,0,0,1,0,0,1,1,1,1,0.5396101522993263
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.5376109914604081
1,1,0,0,0,1,1,1,1,1,0,0,0,1,0.5354914440421594
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.5332576619970462
1,0,0,0,1,0,1,0,1,0,1,0,0,1,0.5309161360114899
1,1,0,1,1,0,1,0,1,1,0,1,0,1,0.5284736758619349
0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.5259373897329733
1,1,1,0,1,0,0,1,0,1,0,0,0,1,0.5233146625646665
1,0,1,0,1,1,0,1,1,1,1,0,1,0,0.5206131334993709
0,0,0,1,1,1,1,0,0,1,0,1,0,0,0.5178406725013023
1,1,1,1,1,0,1,0,1,1,0,0,1,1,0.5150053562247471
1,0,1,0,1,0,0,0,0,0,1,1,1,0,0.5121154432092444
1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.5091793484822027
0,1,1,0,1,1,1,0,1,0,1,1,1,0,0.5062056176512919
1,1,1,1,0,0,1,0,0,0,1,0,0,1,0.5032029005705355
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.5001799246653394
1,0,1,0,1,0,0,0,0,0,1,0,1,1,0.49714546800270276
1,0,1,0,1,1,1,0,1,1,0,0,0,1,0.4941083321935845
0,0,1,0,1,0,1,0,1,1,0,1,0,0,0.49107731521483683
1,1,0,0,0,1,1,0,1,0,0,0,1,0,0.48806118423824574
0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.48506864855407367
1,0,0,0,0,1,1,1,1,0,0,1,1,1,0.4821083326760489
0,0,0,1,1,0,0,1,0,1,0,1,0,1,0.47918874971401615
0,1,1,0,1,0,0,0,0,1,1,1,1,1,0.47631827509943653
0,0,0,0,0,1,1,1,0,0,0,0,0,1,0.47350512074763373
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.4707573097390958
1,1,0,0,1,0,1,0,1,1,0,0,0,1,0.46808265160030443
0,1,0,0,1,0,0,0,1,0,1,1,1,0,0.46548871826244964
0,0,0,1,1,0,0,0,1,1,1,1,1,0,0.462982820774028
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.4605719868407117
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.45826293926303585
