ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,80219.23955834369
0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,80236.63569359451
0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,80254.42037406236
0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,80272.6150383577
0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,80291.23658909005
1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,80310.29711817583
1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,80329.80365180262
1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,80349.7579163862
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,80370.15612678204
0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,80390.98879793308
1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,80412.24058105094
0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,80433.89012533728
1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,80455.90996615826
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,80478.26644048521
1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,80500.91963031239
1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,80523.82333465647
1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,80546.92507063209
0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,80570.16610398614
1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,80593.48150935832
0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,80616.80026041863
0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,80640.04534991454
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,80663.13393954071
1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,80685.97753942471
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,80708.48221690109
1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,80730.54883412714
0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,80752.07331397365
1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,80772.94693350632
1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,80793.05664425662
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,80812.28541836722
0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,80830.51261958429
0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,80847.6143979611
1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,80863.4641070311
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,80877.93274210765
0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,80890.88939826944
0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,80902.20174649924
0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,80911.73652635382
0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,80919.36005346321
0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,80924.938740078
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,80928.33962681578
0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,80929.43092369116
0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,80928.08255845825
