WindowSize,CompressionLevel,Performance
13,1,83.19035125481939
14,0,82.04469281662242
14,8,80.87848308891938
16,6,79.69446335461626
21,10,78.49540002334307
14,0,77.28407614392958
22,11,76.06328290543328
24,10,74.83581115537316
12,1,73.60444296368689
16,7,72.37194326069117
21,5,71.14105157699096
21,10,69.91447391284805
18,10,68.69487476399038
14,8,67.48486933021879
15,3,66.28701593245205
11,9,65.10380866304634
15,10,63.93767029333274
14,5,62.79094546134297
14,2,61.66589416164044
18,3,60.56468555804407
22,6,59.48939213883232
16,6,58.44198423274961
24,8,57.42432490280641
22,5,56.43816523347974
21,8,55.485140025482025
18,0,54.56676391078113
18,0,53.68442789902763
17,2,52.83939636498343
23,0,52.03280448495202
12,6,51.2656561285945
15,10,50.53882221087908
16,7,49.85303950726317
17,7,49.20890993355279
13,3,48.60690029022726
12,7,48.0473424693675
19,3,47.5304341206864
17,4,47.05623977153805
18,6,46.62469239418316
24,7,46.23559541201806
12,5,45.88862513493856
20,8,45.583333612513606
21,0,45.319151892193595
24,8,45.09539366837688
16,10,44.91125930681361
22,4,44.765840227541446
14,7,44.6581236283265
20,8,44.58699752943334
14,11,44.55125611946846
19,6,44.549605381041985
18,3,44.58066897407022
24,1,44.64299435370585
10,2,44.73505909913099
24,1,44.85527742878707
17,11,45.002006877045076
15,6,45.173555106842386
20,0,45.36818683242955
24,10,45.58413082608453
16,8,45.81958698246122
21,6,46.07273341414676
19,7,46.34173355200726
23,9,46.62474322400291
13,11,46.91991768635253
24,1,47.225418581221874
15,2,47.53942079549782
23,2,47.86011919569385
19,6,48.185735214602
20,7,48.51452326596968
18,9,48.84477696422476
15,5,49.17483512710256
18,7,49.503087539938214
19,8,49.82798046137265
15,0,50.14802185127937
24,5,50.46178630284493
21,4,50.767919661927394
18,2,51.06514331806625
12,2,51.3522581528227
24,4,51.62814813248421
20,8,51.891783533565764
17,9,52.14222379098026
10,4,52.37861996022306
11,10,52.600216786416816
22,8,52.80635437458789
