new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,0,2,1,1,0,512,0,140.15189240688198
1,2,1,0,0,0,512,5,136.27696274362154
1,0,2,2,1,0,1024,0,132.0900545002095
1,2,2,2,0,1,512,5,127.70017977023139
0,2,2,2,1,1,2048,9,123.22254780260482
0,1,2,2,0,1,1024,0,118.7749206919206
1,1,2,0,0,1,4096,0,114.47386160105404
1,2,2,1,0,0,4096,5,110.43100650640935
1,2,2,2,0,1,512,1,106.74949070262235
1,0,2,0,0,1,1024,0,103.5206566233046
1,1,2,2,1,0,4096,0,100.82116007225208
0,2,2,1,0,0,4096,9,98.7105780490291
0,0,2,1,0,1,1024,0,97.22960350373373
0,1,2,1,0,1,512,0,96.39889123433271
0,1,2,1,0,0,512,0,96.21859554285253
0,1,2,0,0,0,2048,0,96.66861508953345
0,2,2,2,0,1,2048,1,97.70953458591005
0,1,2,2,1,0,2048,0,99.28422753329566
1,1,2,0,0,1,512,0,101.32006011344855
0,1,2,0,1,1,1024,0,103.73161449246528
1,2,2,2,1,1,2048,5,106.42383103817367
1,0,1,0,1,1,1024,0,109.29545398560889
0,2,2,2,0,1,4096,1,112.24265447611934
1,2,2,2,0,0,512,1,115.1626990345908
0,1,2,1,1,0,2048,0,117.95753064252489
1,2,1,0,0,1,2048,9,120.53713362626176
0,0,2,1,1,1,4096,0,122.82256243156229
1,2,2,0,0,0,4096,5,124.74852763623353
1,1,2,1,1,0,4096,0,126.26544973105105
1,2,2,2,1,0,4096,9,127.34091159875064
0,2,2,2,0,1,4096,9,127.96046344498819
1,0,2,2,1,0,4096,0,128.12775830042406
0,1,2,1,1,0,2048,0,127.86402118404946
0,1,1,0,1,0,2048,0,127.20687964407935
1,0,2,1,1,0,4096,0,126.2086067458595
1,2,2,0,0,0,2048,5,124.9338487859002
1,1,2,2,1,0,1024,0,123.45692829816275
0,2,2,2,0,0,2048,5,121.85882762421527
0,2,2,2,1,1,4096,5,120.22396892842401
1,0,1,0,0,1,1024,0,118.63691270106014
0,2,1,0,1,0,2048,1,117.17909832819568
0,0,2,2,0,1,1024,0,115.92574721814907
1,1,2,2,1,1,1024,0,114.94304143654689
1,0,2,2,1,1,512,0,114.2856791588454
1,1,2,0,1,0,2048,0,113.99489299419892
1,1,2,0,0,0,2048,0,114.09699899104783
1,0,2,1,1,1,1024,0,114.60252362922121
0,1,2,2,0,1,1024,0,115.50593413593913
1,0,2,0,1,0,512,0,116.78597487588895
0,1,2,2,0,0,1024,0,118.40659020946973
1,0,2,2,0,1,4096,0,120.31839291554537
1,0,2,1,1,0,1024,0,122.46061780807001
1,2,2,0,1,0,2048,9,124.76348322917234
1,1,2,1,0,0,1024,0,127.15086925668625
0,2,2,1,1,1,4096,1,129.54321117643508
0,2,1,0,1,1,4096,1,131.86050035193458
0,2,1,0,1,0,4096,9,134.02528223940087
1,2,2,0,0,1,1024,1,135.965542953913
0,0,2,0,0,1,2048,0,137.6173813534221
0,2,1,0,0,0,1024,9,138.92737279030578
1,2,2,1,1,0,1024,5,139.85454307771352
0,1,2,2,0,0,4096,0,140.371886313966
1,0,2,0,0,0,512,0,140.46737740021356
0,1,2,2,0,1,512,0,140.14444871009266
0,2,2,0,0,1,2048,1,139.42191972534766
0,2,2,0,0,1,4096,1,138.33338782967837
1,2,2,0,1,1,1024,5,136.92610716333704
1,2,2,0,1,0,1024,9,135.2593998345328
0,0,1,0,0,1,512,0,133.40265927656938
1,2,1,0,0,1,2048,5,131.43301863202754
0,1,1,0,1,1,1024,0,129.43276733692844
0,0,2,2,0,1,512,0,127.48660627931743
0,1,2,0,0,1,1024,0,125.67883584639068
0,1,2,1,0,0,1024,0,124.0905718003964
0,2,1,0,0,0,2048,1,122.79708130205266
1,1,2,1,1,0,1024,0,121.86532570841716
0,2,2,2,0,0,2048,1,121.35178828842446
1,2,1,0,1,0,4096,9,121.30065408977102
0,0,2,0,1,0,512,0,121.74239629322487
1,2,2,2,1,0,4096,1,122.69280899624684
0,0,2,0,1,1,512,0,124.15251100315535
0,2,2,0,0,0,1024,9,126.1069294052451
0,2,2,2,0,0,512,9,128.52675604858084
1,1,2,2,1,1,2048,0,131.3688549247791
1,0,1,0,0,0,1024,0,134.57758455738036
1,2,2,2,0,0,2048,9,138.0864870166326
1,1,2,1,1,1,512,0,141.82028463670858
0,2,2,0,1,1,512,1,145.69711711526253
0,0,2,2,0,1,2048,0,149.63094564889738
1,2,2,0,1,1,2048,9,153.5340472188007
1,2,2,2,1,0,512,5,157.3195211235848
1,0,2,1,0,1,1024,0,160.90373131458233
0,0,2,1,1,0,2048,0,164.2086118991004
1,0,1,0,0,0,1024,0,167.1637691464474
1,2,2,2,1,1,4096,5,169.708321206395
1,2,1,0,1,0,1024,5,171.7924262264761
0,0,2,2,1,0,512,0,173.3784602908637
0,2,2,1,0,0,2048,1,174.44181823062894
0,0,1,0,0,0,1024,0,174.97132248967472
0,2,2,2,0,1,4096,5,174.969237487008
1,2,2,2,1,1,2048,1,174.4508989178435
0,0,2,1,1,0,4096,0,173.44397882681642
1,2,2,2,1,0,2048,1,171.9874177392834
1,2,1,0,0,0,1024,5,170.1300643621293
1,2,2,0,0,1,1024,1,167.92907111925106
0,2,2,2,0,1,1024,1,165.44809987475884
1,0,2,1,0,1,2048,0,162.7553964788029
0,2,1,0,1,0,2048,5,159.92179516308178
1,2,1,0,0,0,2048,1,157.01871428896555
1,2,1,0,1,0,1024,5,154.11620354068117
0,2,2,1,0,1,4096,1,151.28109944337575
1,2,2,1,0,1,1024,9,148.57534120618706
1,0,2,2,0,1,512,0,146.0544925250326
1,2,2,0,0,0,4096,9,143.76650735047573
1,2,2,0,1,1,1024,5,141.7507689883786
0,0,2,0,0,1,2048,0,140.03742253709336
1,2,2,1,0,0,2048,1,138.64701087493702
0,2,2,0,0,0,2048,1,137.59041450561583
1,1,1,0,0,0,2048,0,136.86908585796365
