fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,1,0,0,64,2,1024,87108.37977357944
0,0,1,0,0,256,32,1024,87071.83049388307
1,0,1,0,1,128,32,4096,87044.12588789691
1,0,1,0,0,256,8,4096,87025.10441929493
0,1,1,1,0,256,2,1024,87014.58016298208
1,1,0,0,1,256,32,4096,87012.343475888
0,0,0,1,1,256,2,256,87018.16173906268
0,0,0,1,1,256,2,4096,87031.78016870609
1,0,1,1,0,256,32,256,87052.92269354415
1,0,0,0,0,128,8,1024,87081.2928957529
0,1,1,1,1,64,8,256,87116.5750124297
0,0,1,1,0,256,8,1024,87158.43499441943
1,1,0,0,0,64,2,256,87206.52161912074
1,1,0,0,0,256,32,4096,87260.46765372752
0,0,0,1,1,64,32,256,87319.89106520133
0,1,1,1,0,128,8,256,87384.39627312336
0,1,0,1,0,64,2,4096,87453.57544144102
0,1,1,0,0,256,8,1024,87527.00980500187
1,0,0,0,0,256,2,1024,87604.27102666079
1,0,1,1,1,64,32,256,87684.92258065162
1,0,1,0,0,64,32,256,87768.52115783545
1,0,1,1,0,128,2,4096,87854.61808837132
1,1,0,0,0,64,2,4096,87942.7607773054
1,1,1,0,1,256,2,1024,88032.49414853743
1,0,1,1,0,64,32,4096,88123.36209260322
1,0,0,0,1,64,32,1024,88214.90891370497
0,0,0,0,1,128,8,4096,88306.68077142978
0,0,1,1,0,128,2,4096,88398.22711262116
0,1,0,0,0,64,2,1024,88489.10208890587
0,1,1,0,0,128,8,1024,88578.86595543168
0,0,0,0,0,64,2,1024,88667.08644643979
0,0,1,1,1,256,8,256,88753.3401233766
1,1,0,0,0,64,8,1024,88837.21369134609
0,1,1,0,1,128,8,4096,88918.3052798124
1,0,1,0,0,64,2,4096,88996.22568358624
0,1,0,0,1,128,8,1024,89070.5995602627
1,1,0,0,1,64,32,256,89141.06658042676
1,1,0,1,0,64,32,4096,89207.28252710214
0,0,0,0,1,256,32,4096,89268.9203410898
0,1,0,1,1,256,8,4096,89325.67110902406
0,1,0,1,0,64,32,4096,89377.24499116656
0,1,1,1,0,256,8,4096,89423.37208615798
1,1,0,1,0,128,2,256,89463.80323015875
0,0,1,1,0,128,8,1024,89498.31072802679
0,1,1,0,1,128,2,4096,89526.68901440583
