new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,1,0,1,0,70,16,4,57668.47557547109
2,0,0,0,1,40,4096,8,58100.321024210665
1,1,1,1,0,90,256,4,58557.070195755536
4,1,1,1,0,50,4096,8,59037.79135866508
5,1,1,1,0,90,32,2,59541.5055119766
5,0,1,1,0,0,1,0,60067.189391369015
2,1,1,1,0,90,2,8,60613.7785500891
3,0,1,1,0,100,512,8,61180.17050442422
1,0,1,1,0,50,1,0,61765.22793343637
5,1,0,0,0,20,16,0,62367.78192263669
2,1,0,0,0,40,2048,0,62986.635241279626
4,1,1,1,1,100,256,2,63620.56564299123
1,0,1,0,1,50,512,2,64268.3291795127
5,0,0,0,0,10,128,8,64928.66351744446
3,0,0,0,0,10,16,0,65600.29124800951
5,1,1,0,0,100,2,8,66281.92318002258
4,1,0,0,1,0,16,10,66972.26160644983
3,1,0,1,1,90,128,10,67670.00353517258
3,0,0,0,0,10,4096,6,68373.84387482592
4,0,0,0,1,40,1,4,69082.4785668697
2,0,1,1,1,70,64,2,69794.60765536108
3,0,1,0,1,10,4096,4,70508.93828623596
4,1,0,0,1,50,64,2,71224.1876282695
5,0,0,0,1,20,64,10,71939.08570826812
5,1,1,0,1,20,256,10,72652.3781534527
1,1,0,1,0,50,32,8,73362.82883441573
2,0,1,1,0,40,4096,10,74069.22240247721
4,1,1,1,0,100,8,0,74770.36671572141
4,0,0,0,0,100,4,4,75465.09514846894
2,0,1,1,1,80,32,4,76152.26877942124
5,1,1,0,0,0,128,8,76830.77845420816
1,0,0,0,1,0,1,2,77499.5467185728
1,1,0,0,0,60,4096,8,78157.52961893473
1,1,1,1,0,60,256,4,78803.71836758687
3,0,1,1,0,70,2,0,79437.14087029663
3,1,0,0,1,0,512,8,80056.86311459816
1,0,0,0,0,0,4096,10,80661.99041757813
3,1,1,1,1,60,32,2,81251.66853246918
5,1,1,0,0,30,1024,8,81825.08461387255
1,1,0,1,0,60,32,6,82381.4680419321
1,1,1,0,1,50,256,10,82920.09110627318
3,1,1,0,0,60,8,0,83440.26955100206
2,0,0,1,0,50,512,6,83941.3629825311
3,0,1,1,0,80,4,0,84422.77514245102
4,0,1,0,0,80,8,6,84883.95404811247
4,0,0,0,0,40,2,10,85324.3920040036
2,1,1,0,1,60,1024,10,85743.62548741703
5,0,0,1,1,20,64,10,86141.23491228564
3,0,0,1,1,50,1,0,86516.84427543418
3,1,0,0,1,30,256,0,86870.12068983706
5,0,1,0,1,0,256,0,87200.77380979537
3,0,1,1,1,30,2048,2,87508.5551532432
1,0,1,0,1,40,1024,6,87793.25732666696
2,1,0,1,0,50,32,6,88054.71315836889
4,1,0,1,0,90,1024,0,88292.79474602707
5,1,0,0,0,30,128,8,88507.41242469959
1,1,1,1,1,30,4096,6,88698.5136615872
5,0,1,1,0,80,128,2,88866.08188400925
1,1,1,1,1,40,4096,6,89010.13524715956
5,1,1,1,1,90,64,10,89130.72534829353
4,0,0,1,1,100,1024,0,89227.93589405298
1,1,0,1,1,10,32,8,89301.88132766492
3,0,0,0,1,60,4096,4,89352.70542274948
1,0,0,1,1,0,2,4,89380.57985044742
