fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,128,8,256,46212.4
1,1,0,1,1,128,8,256,131563.8
1,0,1,1,1,64,8,1024,142008.0
1,1,1,1,0,64,8,256,133653.4
0,1,1,1,1,128,2,1024,46877.2
1,0,0,1,0,64,8,1024,131169.0
0,0,0,1,1,64,2,1024,46426.0
0,1,1,1,1,128,8,256,46554.0
1,1,0,0,1,128,2,256,136842.2
0,0,0,1,1,128,2,1024,46407.8
1,0,1,1,0,128,2,1024,140842.0
1,1,0,0,1,64,2,1024,136113.4
1,1,0,1,1,64,2,1024,128299.6
1,0,0,0,0,64,8,256,134959.4
1,1,1,1,1,128,2,256,130797.6
0,1,1,0,1,64,2,1024,46614.4
0,1,0,1,0,64,8,1024,46348.8
1,1,0,0,0,64,8,1024,134852.2
0,1,0,0,0,64,2,1024,46111.6
0,1,0,0,0,128,8,256,46318.0
0,0,0,1,0,128,2,1024,46355.2
0,0,0,1,0,64,8,256,46269.0
0,1,1,1,1,128,8,1024,46970.2
1,0,1,0,0,64,2,256,136890.4
1,1,0,1,0,128,2,256,135754.4
0,0,0,1,0,128,8,1024,46551.6
0,0,1,1,1,128,8,1024,46669.0
1,1,0,1,0,128,2,1024,132390.8
1,0,0,0,0,64,2,1024,131859.6
0,1,1,0,0,128,8,1024,46539.2
0,1,0,1,1,128,2,256,46367.0
1,1,1,1,0,128,8,256,130678.4
0,1,1,0,0,64,8,1024,46317.8
1,1,1,1,0,128,2,1024,128922.6
1,1,1,0,0,128,2,256,136797.8
1,0,1,1,1,64,2,1024,135739.2
0,0,0,0,1,128,2,256,47198.6
0,0,1,1,1,128,8,256,46778.0
1,1,1,0,0,128,8,256,131126.8
0,0,1,1,0,64,2,1024,46456.0
0,0,1,1,1,128,2,1024,46692.6
1,1,0,0,1,128,8,1024,133644.4
1,0,1,1,0,128,8,1024,138096.8
1,0,0,0,0,128,8,1024,130750.8
0,0,0,0,1,128,8,256,46184.2
0,0,0,1,0,128,8,256,46366.6
0,0,0,1,1,128,8,256,46472.4
1,1,1,0,1,128,8,1024,132620.2
1,0,1,1,1,128,2,256,141082.4
1,0,0,1,1,128,2,1024,136545.2
0,0,1,0,1,128,2,1024,46229.8
1,0,1,1,0,64,2,1024,140228.0
1,1,0,0,1,128,8,256,137657.6
0,0,1,0,1,64,2,1024,46185.2
1,0,0,0,0,128,2,256,133624.8
0,1,0,1,1,64,2,1024,46520.6
0,1,1,1,1,64,8,256,46723.2
0,0,0,0,1,64,8,256,46194.8
0,1,0,1,0,128,8,256,46439.6
0,0,0,0,0,128,2,1024,46169.2
1,1,1,0,1,64,8,256,132169.4
0,1,0,0,1,128,8,256,46673.2
0,0,1,0,0,64,2,1024,46199.0
1,1,1,1,1,64,2,256,128684.6
1,0,1,0,1,128,8,256,136260.8
1,1,1,0,0,64,8,256,130526.8
1,1,0,1,0,64,8,1024,132315.2
1,1,1,1,1,128,2,1024,132657.0
0,1,1,1,0,128,32,1024,46795.6
0,0,1,1,0,128,2,1024,46881.4
1,0,0,0,0,128,8,1024,130750.8
0,0,0,1,0,64,32,256,46298.4
0,1,1,1,0,128,8,256,46558.0
0,1,0,1,0,128,32,1024,47239.8
1,1,0,1,0,128,2,256,135754.4
1,1,1,0,1,64,8,256,132169.4
0,0,1,0,0,64,32,1024,46389.6
1,1,0,0,0,128,32,256,131583.0
1,1,1,1,0,64,32,1024,127659.2
1,1,1,0,0,64,2,1024,129472.0
1,0,0,1,1,128,32,256,135614.0
1,1,0,1,1,64,2,1024,128299.6
0,0,1,0,0,64,8,256,46528.8
0,0,1,0,0,128,2,256,46293.4
1,0,1,1,1,128,32,1024,142199.6
1,0,0,1,1,128,8,1024,135632.6
0,1,0,1,1,128,32,1024,46648.6
1,0,0,0,1,128,2,1024,135630.0
1,0,0,0,1,64,32,1024,130868.6
1,0,1,0,0,128,8,256,131236.6
0,1,1,1,0,128,2,1024,46400.2
1,0,0,0,1,64,2,1024,132218.0
0,1,0,1,0,64,2,1024,46447.6
1,1,0,0,0,128,8,1024,136315.0
1,0,1,0,0,64,2,1024,135076.2
1,0,1,1,0,64,2,1024,140228.0
1,1,1,0,1,64,32,1024,130145.2
1,1,1,0,1,128,32,1024,135219.0
1,0,1,1,1,128,2,1024,137186.6
0,0,1,0,1,64,2,1024,46185.2
1,0,1,1,0,64,32,1024,139522.4
1,1,0,1,0,64,2,256,134157.4
1,0,1,1,0,64,2,256,140491.6
0,0,0,0,0,128,32,1024,46582.2
1,0,0,0,0,64,32,256,129289.6
1,0,1,1,0,128,32,256,140915.4
0,0,1,1,0,64,8,256,46557.4
0,0,1,0,0,64,32,256,46180.0
1,0,0,1,1,128,2,256,131667.8
0,1,1,1,1,64,8,1024,46751.8
1,0,1,1,1,128,8,256,136436.0
0,1,1,0,1,64,32,1024,46469.6
1,1,0,0,0,128,2,1024,133545.6
1,1,1,1,0,64,8,256,133653.4
0,1,1,0,0,64,8,1024,46317.8
1,1,1,1,1,64,32,256,132168.8
1,1,1,1,1,128,32,256,135538.4
1,0,0,1,0,128,8,256,132011.0
1,0,1,0,1,128,2,1024,135485.6
1,1,1,0,1,64,8,1024,127709.6
0,1,1,1,0,128,8,1024,46551.0
0,0,1,0,0,128,8,256,46140.0
1,0,1,0,0,128,32,1024,135323.2
1,0,0,1,1,64,8,1024,135458.2
0,1,1,0,1,128,8,256,46212.4
1,0,1,1,0,64,8,1024,138765.2
1,1,0,0,1,64,8,256,134080.8
0,0,1,1,0,64,2,256,46508.8
0,1,1,0,0,128,8,256,46214.6
1,0,0,0,1,128,32,1024,132768.2
1,1,0,0,0,64,8,1024,134852.2
0,1,1,1,0,64,8,1024,46311.6
0,1,0,0,1,64,32,1024,46172.8
1,0,1,1,0,128,8,1024,138096.8
0,1,1,1,1,128,8,1024,46970.2
0,0,0,1,0,128,2,256,46486.8
1,1,0,0,1,128,2,256,136842.2
1,0,1,1,1,64,2,256,135234.0
1,0,0,0,0,64,2,1024,131859.6
0,1,1,1,1,128,32,1024,46752.2
1,0,0,1,1,64,2,256,131695.0
1,1,0,1,0,64,32,1024,132685.0
0,1,0,1,0,64,8,256,46431.0
