new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,1,1,1,90,16,0,17692.4
1,0,0,1,1,90,64,2,17793.8
2,0,1,0,0,80,16,0,4995.8
3,0,0,1,0,90,32,0,12300.8
3,0,1,1,1,80,16,2,12246.8
2,0,1,0,0,80,32,2,4689.0
3,0,0,0,0,100,64,0,12152.0
3,0,0,0,0,90,64,0,12170.2
1,1,1,0,0,80,64,0,17733.6
1,0,1,0,1,100,16,0,17703.6
1,0,1,1,1,90,16,2,17648.4
2,1,0,0,0,80,16,2,4995.6
2,0,1,1,1,100,16,0,17615.2
3,1,1,1,0,100,16,0,12243.2
3,0,1,1,1,80,32,0,12148.4
1,0,1,1,1,80,64,0,17744.0
3,1,0,0,1,80,64,2,12238.0
3,0,1,0,0,80,64,0,12073.8
2,0,0,0,1,100,16,2,4915.0
3,0,0,0,1,80,32,2,12085.8
2,0,1,1,1,90,16,2,17765.0
1,0,1,1,1,90,32,2,17787.6
3,1,1,0,0,100,16,2,12272.8
1,0,1,1,1,100,64,2,17783.8
1,1,0,0,0,80,16,2,17798.4
1,1,0,1,1,100,64,0,17724.8
3,0,1,1,1,100,32,0,12166.0
2,1,1,1,0,90,64,0,17658.6
2,1,1,0,0,90,32,2,4683.0
3,1,1,1,0,80,64,2,12166.0
1,0,0,1,0,90,16,2,17697.4
2,1,0,1,1,100,32,0,17657.4
2,1,1,0,0,100,32,2,4684.8
1,1,0,0,1,90,64,0,17697.8
2,1,1,1,1,80,16,2,17654.2
1,1,1,0,0,80,32,2,17870.2
1,1,0,1,1,100,32,2,17739.0
1,0,1,1,0,80,64,2,17763.6
2,1,1,1,0,90,16,0,17611.8
1,0,1,1,0,80,16,0,17733.6
1,1,1,0,0,90,64,2,17792.8
3,1,0,1,0,90,32,2,12261.8
1,1,1,0,1,100,64,2,17721.6
3,0,1,1,0,80,16,2,12188.0
3,0,0,0,0,90,32,0,12183.6
1,0,0,0,0,90,32,2,17655.4
3,1,1,1,1,80,32,2,12250.4
1,0,0,1,0,80,64,2,17708.4
2,0,1,1,1,90,16,0,17627.8
2,1,0,0,0,90,64,0,4684.0
1,1,0,1,0,100,16,0,17755.6
1,1,1,1,1,80,64,0,17867.8
2,0,1,1,0,90,16,0,17665.8
3,0,1,1,1,90,16,2,12347.8
2,0,0,0,0,80,64,0,4721.2
2,1,0,0,1,90,64,2,4688.2
