fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,1,64,32,4096,46295.6
1,0,1,1,0,64,8,1024,138765.2
1,1,0,0,1,256,32,256,134256.8
0,1,0,1,1,256,2,4096,46615.0
0,1,1,0,1,128,8,256,46212.4
1,0,0,0,0,128,2,4096,133393.2
1,0,0,1,0,128,8,256,132011.0
0,1,1,1,1,64,8,1024,46751.8
1,0,1,1,1,256,32,4096,139169.0
1,0,0,1,1,64,8,4096,134738.4
0,0,1,1,1,128,2,256,46688.4
0,1,1,0,1,256,32,256,46169.8
0,0,0,0,0,256,8,4096,46426.6
1,1,0,1,0,64,2,4096,131709.2
0,0,0,0,1,128,32,256,46035.0
1,0,0,1,0,256,32,4096,133534.2
1,1,0,1,1,256,8,1024,122151.8
1,1,1,1,0,256,32,4096,134654.6
0,0,1,0,1,256,8,256,46064.6
0,1,1,0,1,256,8,4096,46207.2
1,0,0,0,0,128,32,256,135706.6
1,0,1,0,1,256,8,256,134102.0
1,1,1,0,0,128,8,1024,133603.0
0,0,0,1,1,128,8,1024,46358.4
0,0,0,1,1,256,8,4096,46339.4
1,0,1,1,1,128,8,4096,136724.4
0,1,1,1,0,128,8,256,46558.0
0,0,0,1,1,256,8,256,46222.8
0,0,0,0,0,256,8,4096,46426.6
1,1,0,0,0,128,8,1024,136315.0
1,1,0,1,0,256,32,1024,134381.0
0,0,0,0,0,128,8,1024,46208.0
0,1,1,0,1,256,8,256,47092.0
0,1,0,1,1,256,32,1024,46390.0
0,0,1,1,0,128,32,4096,46256.6
0,1,1,1,0,256,32,1024,46477.8
1,1,0,0,1,256,32,4096,134608.6
0,0,0,0,0,256,32,4096,46042.4
1,0,1,0,0,128,32,4096,137057.4
1,1,0,1,0,256,8,4096,133120.6
0,1,0,0,1,128,8,1024,46124.2
1,0,1,1,0,128,8,4096,136843.8
1,0,1,1,0,128,8,1024,138096.8
1,1,1,0,0,128,8,256,131126.8
0,1,1,0,1,256,8,1024,46398.4
1,1,1,1,1,128,32,256,135538.4
0,1,0,1,0,256,8,1024,46598.6
1,0,1,0,1,256,32,256,137280.0
1,0,0,0,1,128,32,256,133749.4
1,1,0,0,1,256,32,256,134256.8
1,0,0,0,0,256,32,4096,134589.6
1,0,0,1,0,256,8,256,134239.4
1,0,1,0,1,256,8,1024,134254.2
0,0,1,0,0,128,8,4096,46163.2
0,0,0,1,0,128,32,1024,46368.8
0,0,1,1,1,256,32,1024,46821.8
1,0,1,1,1,256,8,4096,136683.0
0,0,1,1,0,256,32,4096,47278.0
1,1,1,0,0,256,32,256,130642.8
0,1,0,0,0,128,32,256,46158.4
0,1,0,1,0,128,32,4096,46190.0
1,1,0,0,0,128,32,1024,133666.2
0,0,0,1,0,128,8,4096,46352.2
0,1,1,0,1,128,32,4096,46577.6
1,1,1,0,1,128,8,256,128988.8
1,0,0,0,1,256,32,4096,129652.6
0,0,0,1,0,128,32,4096,46365.0
1,1,0,1,1,128,32,1024,129568.0
1,1,1,0,1,256,32,4096,128597.0
1,0,1,0,0,256,8,256,133510.4
0,0,0,0,0,128,8,4096,46245.8
1,1,0,0,1,256,32,1024,135112.0
1,1,1,0,0,256,32,1024,132806.8
0,1,1,1,0,128,8,4096,46599.8
0,1,1,0,0,256,8,256,46092.0
1,0,0,1,1,256,8,4096,134113.2
0,0,1,1,0,256,8,1024,46903.4
1,1,1,1,1,256,8,256,136030.6
0,0,0,0,0,128,8,256,46204.0
1,1,0,1,1,128,32,256,130087.4
1,0,0,1,0,128,32,1024,130621.6
1,1,0,0,0,128,32,4096,134334.8
0,1,1,0,0,128,32,1024,46311.2
0,0,0,0,0,128,32,1024,46582.2
1,1,1,1,1,128,32,1024,130943.4
1,0,1,1,0,128,32,256,140915.4
1,1,1,0,0,256,32,4096,131082.0
0,0,1,0,0,128,32,256,46078.8
1,0,1,0,0,128,8,4096,133337.6
1,1,1,0,1,128,32,1024,135219.0
0,0,0,1,0,256,32,256,46346.4
0,1,0,1,1,256,32,256,46634.4
0,1,1,0,1,128,8,1024,46188.8
0,1,0,1,0,256,8,4096,46431.0
0,0,1,1,0,128,8,256,47257.2
0,0,1,0,1,128,8,4096,46545.6
1,1,1,0,0,256,8,1024,133985.0
0,1,0,0,1,256,8,1024,46358.2
1,1,1,1,0,128,8,4096,129330.0
1,1,1,1,1,256,32,1024,130423.0
1,1,0,0,1,128,8,1024,133644.4
0,0,0,1,1,128,32,1024,46258.4
0,0,1,0,0,256,32,1024,46212.8
1,1,0,0,1,256,8,256,131946.0
0,1,0,1,0,128,8,1024,46356.0
0,1,1,1,0,256,32,4096,46451.4
0,0,0,1,0,256,8,1024,46393.4
0,1,0,0,0,256,32,1024,46094.8
0,0,0,0,0,256,8,1024,46252.0
1,0,0,1,0,128,32,4096,133001.4
0,1,0,1,0,256,32,1024,47549.4
0,1,1,1,0,256,8,256,46539.6
1,0,0,0,1,256,8,1024,135761.2
1,1,1,1,1,128,8,4096,130405.6
1,0,0,1,0,256,8,1024,132022.4
1,0,1,1,0,256,8,1024,140390.4
1,1,1,0,1,256,32,1024,129640.2
0,1,0,1,0,128,32,1024,47239.8
0,0,1,1,0,256,32,256,46622.6
0,0,0,1,0,128,8,1024,46551.6
1,0,0,0,1,128,32,1024,132768.2
0,0,0,1,0,256,32,1024,46419.0
1,0,0,1,0,128,8,1024,136143.6
0,0,0,0,1,256,8,1024,46303.0
0,0,1,0,1,256,8,1024,46106.2
0,1,0,0,0,256,32,4096,46039.0
0,1,0,0,0,256,8,256,46335.6
1,1,1,1,0,128,32,1024,126388.4
0,0,1,0,0,128,32,1024,46138.8
0,1,1,1,1,128,8,1024,46970.2
0,1,0,0,1,256,8,256,46192.0
1,0,0,1,1,128,32,1024,135249.8
0,1,0,1,1,256,8,4096,46447.6
1,1,0,0,1,256,8,4096,135842.6
1,1,1,0,0,256,8,256,131089.2
1,1,0,1,0,256,8,256,133679.6
1,0,0,1,1,256,8,256,135852.4
1,1,0,0,0,256,8,256,133404.8
1,1,1,0,0,128,32,4096,128492.6
1,0,0,1,1,256,32,4096,131185.4
0,1,1,1,0,256,32,256,46431.0
0,1,1,1,1,256,32,256,46982.0
1,0,0,1,0,256,32,256,135844.0
0,0,1,1,1,256,32,4096,46299.2
0,1,0,1,1,128,32,1024,46648.6
1,1,0,0,1,128,32,256,131364.4
0,0,1,1,0,256,8,4096,46502.6
1,1,0,0,0,256,32,256,130682.8
1,1,1,1,1,128,32,4096,132082.4
0,0,0,0,1,128,32,256,46035.0
0,1,0,0,0,256,8,1024,46097.6
1,1,0,1,0,256,8,1024,131766.4
1,0,1,0,0,128,32,1024,135323.2
1,0,0,1,1,128,32,256,135614.0
1,0,1,0,1,128,32,1024,140847.2
0,0,1,0,1,128,8,1024,46365.0
0,0,0,0,1,256,32,1024,46176.6
1,0,0,0,1,256,8,256,136333.8
0,1,0,1,1,256,32,4096,47368.0
1,1,0,1,0,128,32,256,132344.8
1,0,1,1,0,128,32,4096,138185.4
1,1,0,0,1,128,32,1024,133874.4
0,0,1,0,0,128,8,256,46140.0
0,1,1,0,0,128,8,256,46214.6
1,0,1,1,1,256,8,256,136729.2
1,0,1,1,1,256,32,256,137724.2
1,0,1,1,1,128,8,256,136436.0
0,0,0,0,1,128,8,4096,46212.2
1,1,0,0,1,128,8,256,137657.6
0,0,1,1,0,128,8,4096,46503.2
1,0,1,1,1,128,32,256,137237.2
1,1,0,1,1,128,8,256,131563.8
0,1,0,1,1,256,8,1024,46605.0
1,1,1,1,0,128,32,4096,127500.8
0,1,1,0,0,256,8,4096,46382.8
0,0,1,0,1,128,32,4096,46408.8
1,0,1,0,0,128,8,1024,130578.0
0,1,1,1,0,128,32,256,46666.8
1,1,0,1,0,128,32,4096,130274.6
0,0,1,1,1,128,32,1024,46659.6
